idquestao	conteudo1	conteudo2	conteudo3
9	Outros	Física e ciência dos materiais	Matemática e estatística
10	Outros		
11	Outros		
12	Outros		
13	Outros	Física e ciência dos materiais	
14	Outros		
15	Outros	Fundamentos de programação	
16	Outros		
17	Matemática e estatística	Outros	
18	Outros	Física e ciência dos materiais	
19	Ética, empreendedorismo, computador e sociedade	Redes de computadores e sistemas distribuídos	
20	Análise de dados e processamento de sinais		
21	Arquitetura de computadores e sistemas operacionais		
22	Matemática discreta e teoria dos grafos	Pesquisa operacional e otimização	
23	Sistemas digitais e sistemas embarcados		
24	Redes de computadores e sistemas distribuídos		
25	Automação industrial e sistemas de controle		
26	Inteligência artificial		
27	Engenharia de software, IHC e banco de dados		
28	Circuitos elétricos e eletrônicos		
29	Teoria da computação		
30	Arquitetura de computadores e sistemas operacionais		
31	Arquitetura de computadores e sistemas operacionais	Redes de computadores e sistemas distribuídos	
32	Fundamentos de programação		
33	Ética, empreendedorismo, computador e sociedade	Automação industrial e sistemas de controle	
34	Engenharia de software, IHC e banco de dados		
35	Fundamentos de programação		
